s.n,particular,6/1/2073,9/1/2073,12/1/2073,3/1/2074,6/1/2074,9/1/2074,12/1/2074,3/1/2075,6/1/2075,9/1/2075,12/1/2075,3/1/2076,6/1/2076,9/1/2076,12/1/2076,3/1/2077,6/1/2077,9/1/2077
1,RBS," 570,599 "," 1,154,490 "," 1,994,981 "," 2,754,136 "," 646,514 "," 1,595,154 "," 2,338,238 "," 3,162,676 "," 785,915 "," 4,405,677 "," 5,632,103 "," 6,353,856 "," 4,090,165 "," 5,693,131 "," 6,843,243 "," 7,064,225 "," 4,211,744 ", -   
2,National," 1,021,807 "," 2,004,676 "," 3,038,140 "," 4,739,571 "," 1,313,750 "," 2,458,501 "," 3,943,950 "," 6,133,280 "," 1,375,615 "," 2,984,059 "," 4,765,741 "," 7,800,247 "," 1,912,184 "," 3,887,537 "," 5,657,152 "," 9,114,079 "," 2,803,294 ", -   
3,NLIC," 2,660,562 "," 4,859,995 "," 12,058,398 "," 3,753,905 "," 7,145,432 "," 10,695,715 "," 16,017,320 "," 5,432,894 "," 10,475,476 "," 15,190,937 "," 22,825,031 "," 7,818,393 "," 13,911,064 "," 18,418,779 "," 27,340,376 "," 8,925,153 ", -   ,
4,LIC," 2,660,562 "," 4,859,995 "," 12,058,398 "," 3,753,905 "," 4,482,531 "," 6,953,620 "," 10,406,256 "," 2,892,657 "," 5,782,291 "," 8,790,558 "," 13,347,117 "," 4,179,721 "," 7,656,863 "," 10,318,084 "," 14,838,525 "," 5,033,132 ", -   ,
5,MetLife," 730,784 "," 1,429,932 "," 3,018,670 "," 846,489 "," 1,683,011 "," 2,531,487 "," 3,530,864 "," 964,666 "," 1,866,895 "," 2,965,478 "," 4,075,554 "," 1,144,668 "," 2,296,770 "," 3,219,107 "," 4,016,373 "," 1,168,668 ", -   ,
6,Asian," 458,407 "," 1,017,907 "," 2,291,668 "," 548,635 "," 1,214,423 "," 1,919,375 "," 2,998,588 "," 682,401 "," 1,734,888 "," 2,653,019 "," 4,216,354 "," 888,659 "," 2,286,057 "," 3,099,838 "," 4,540,824 "," 1,456,096 ", -   ,
7,Surya," 216,629 "," 461,807 "," 1,264,452 "," 349,644 "," 681,216 "," 1,040,255 "," 1,664,932 "," 411,973 "," 953,326 "," 1,497,138 "," 2,488,908 "," 579,111 "," 1,286,698 "," 1,770,275 "," 2,845,588 "," 836,841 ", -   ,
8,Gurans," 205,730 "," 429,220 "," 1,129,908 "," 281,056 "," 556,514 "," 887,979 "," 1,453,422 "," 354,578 "," 719,958 "," 1,120,162 "," 1,892,205 "," 448,520 "," 957,768 "," 1,355,197 "," 2,201,703 "," 962,640 ", -   ,
9,Prime," 378,991 "," 767,467 "," 1,868,452 "," 464,192 "," 933,511 "," 1,455,148 "," 2,212,440 "," 614,343 "," 1,222,824 "," 1,870,356 "," 2,867,403 "," 757,591 "," 1,581,055 "," 2,227,587 "," 3,262,598 "," 1,065,703 ", -   ,
10,IME , -   , -   , -   ," 3,660 "," 103,637 "," 255,943 "," 499,546 "," 108,348 "," 273,692 "," 484,102 "," 888,803 "," 221,924 "," 608,505 "," 868,561 "," 1,371,166 "," 529,236 ", -   ,
11,Union, -   , -   , -   ," 20,609 "," 204,562 "," 390,662 "," 762,271 "," 391,474 "," 1,027,690 "," 1,628,995 "," 2,951,867 "," 778,216 "," 2,371,696 "," 3,171,405 "," 4,502,271 "," 1,493,697 ", -   ,
12,Jyoti, -   , -   , -   ," 2,289 "," 29,235 "," 109,088 "," 277,515 "," 120,249 "," 309,120 "," 566,805 "," 987,715 "," 264,265 "," 725,473 "," 1,100,174 "," 1,780,704 "," 525,334 ", -   ,
13,Sun Nepal, -   , -   , -   , -   ," 102,755 "," 171,368 "," 290,806 "," 135,445 "," 332,795 "," 548,325 "," 789,966 "," 240,560 "," 568,023 "," 791,018 "," 1,073,937 "," 402,828 ", -   ,
14,Reliance, -   , -   , -   , -   ," 6,135 "," 20,248 "," 84,726 "," 96,505 "," 209,334 "," 376,761 "," 731,144 "," 242,337 "," 577,765 "," 797,194 "," 1,368,961 "," 465,230 ", -   ,
15,Reliable, -   , -   , -   ," 5,259 "," 59,923 "," 152,098 "," 344,970 "," 222,151 "," 497,565 "," 885,743 "," 1,335,066 "," 387,604 "," 861,157 "," 1,204,492 "," 1,573,818 "," 546,391 ", -   ,
16,Citizen, -   , -   , -   , -   ," 63,801 "," 186,042 "," 361,018 "," 153,931 "," 401,053 "," 650,554 "," 1,125,464 "," 333,521 "," 793,688 "," 1,163,522 "," 1,925,746 "," 608,673 ", -   ,
17,Sanima, -   , -   , -   , -   ," 1,632 "," 24,655 "," 93,562 "," 65,810 "," 168,427 "," 249,575 "," 417,938 "," 136,845 "," 407,349 "," 575,845 "," 829,313 "," 348,589 ", -   ,
18,Prabhu, -   , -   , -   , -   ," 11,908 "," 31,424 "," 112,384 "," 60,416 "," 148,764 "," 248,493 "," 453,579 "," 132,950 "," 312,638 "," 504,845 "," 1,159,435 "," 259,791 ", -   ,
19,Mahalaxmi, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 33,782 "," 249,346 "," 103,642 "," 283,507 "," 393,102 "," 859,662 "," 233,592 ", -   ,
,,,,,,,,,,,,,,,,,,,
